anon_screen_name,QuzAttmptAvg1,QuzCount1,QuzAvSco1,QuzLagMean1,LecLag1,LecCount1,VidActCount1,eff1,QuzAttmptAvg2,QuzCount2,QuzAvSco2,QuzLagMean2,LecLag2,LecCount2,VidActCount2,eff2,QuzAttmptAvg3,QuzCount3,QuzAvSco3,QuzLagMean3,LecLag3,LecCount3,VidActCount3,eff3,QuzAttmptAvg4,QuzCount4,QuzAvSco4,QuzLagMean4,LecLag4,LecCount4,VidActCount4,eff4,QuzAttmptAvg5,QuzCount5,QuzAvSco5,QuzLagMean5,LecLag5,LecCount5,VidActCount5,eff5,QuzAttmptAvg6,QuzCount6,QuzAvSco6,QuzLagMean6,LecLag6,LecCount6,VidActCount6,eff6,QuzAttmptAvg7,QuzCount7,QuzAvSco7,QuzLagMean7,LecLag7,LecCount7,VidActCount7,eff7,QuzAttmptAvg8,QuzCount8,QuzAvSco8,QuzLagMean8,LecLag8,LecCount8,VidActCount8,eff8,Finalgrade,FinalScore,Class,EngStatus
485a3b64244b899d66660ed2a6a2093d95636fd2,1.571428571,87.5,52.97714286,29126571.43,31043220,12.5,35,0,2,22.22222222,54.165,31200990,0,0,0,0,2.25,66.66666667,42.56,31193130,0,14.28571429,0,0,0,0,0,0,0,0,2,0,1,55.55555556,30,31178160,0,0,0,0,2,40,33.335,31194615,0,0,0,0,2,16.66666667,0,31195020,0,0,0,0,1.125,66.66666667,27.08125,31169280,0,0,0,0,0.53,Pass,BelowAverage,Time<10Mins
4a4d8f170ff504e7d4f7e5820fb117e0d4e507e1,1.5,50,90.625,20326140,10633080,12.5,7,0,1.5,44.44444444,91.6675,29523345,28948380,7.142857143,3,8954,0,0,0,0,0,0,0,4869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6915,0,0,0,0,0,0,0,9845,0,0,0,0,0,0,0,2302,0,0,0,0,0,0,0,5196,0.29,Fail,AboveAvgEngaged,Time >=1 hour
50e51a8e4c8d53404bb2f8c5c480801e72ced698,0,0,0,0,0,0,2,706,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,66.67,17460240,0,0,0,0,1,50,100,21217940,0,0,0,0,1,83.33333333,100,24892338,0,0,0,0,0.09,Fail,BelowAverage,Time<10Mins
55054e356af09f4cabd7733e2c2251dc1345e4f6,1.428571429,87.5,54.76142857,31657825.71,0,0,0,174,1.8,55.55555556,55,84,0,0,0,0,2.2,83.33333333,43.334,96,0,0,0,0,1,33.33333333,22.22,240,0,0,0,0,1,66.66666667,33.33333333,13332320,0,0,0,0,2,60,0,130,0,0,0,0,1.333333333,50,50,740,0,0,0,0,1.1,83.33333333,46.666,72,0,0,0,0,0,Fail,BelowAverage,Time<10Mins
564c5fc0b8652e841285290981456fead84eaa7f,0,0,0,0,0,0,14,0,0,0,0,0,0,0,51,0,1,66.66666667,93.75,26478795,0,0,0,0,1,33.33333333,66.66666667,27291160,2880,77.77777778,0,0,1,66.66666667,91.66666667,23736690,930,22.22222222,0,0,1.5,60,64.445,20491400,0,0,0,0,1,16.66666667,100,31338180,0,0,0,0,0,0,0,0,0,0,0,0,0.06,Fail,BelowAverage,Time<10Mins
568dc877a102d44d08366116982aec36a4a5e267,1.25,50,66.6675,73501965,36747330,25,41,4026,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail,BelowAverage,Time<10Mins
59ca5f19d2c367af58f77f3d13ee059774451206,1,25,0,42729900,66571380,12.5,11,20851,2,33.33333333,38.89,34692520,0,0,17,46833,5,33.33333333,92.855,31734540,0,0,0,6668,0,0,0,0,0,0,9,11470,0,0,0,0,0,0,1,9573,0,0,0,0,0,0,0,19218,0,0,0,0,0,0,0,9642,0,0,0,0,0,0,0,24070,0.77,Pass,AboveAvgEngaged,Time >=1 hour
5ab167f0fe3619f159fbd3704f29494518a02a4c,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,13,2250,2,10,50,28604220,0,0,0,15907,0,0,0,0,0,0,0,54606,0,0,0,0,0,0,0,36509,0.88,Pass,AboveAvgEngaged,Time >=1 hour
5b5deaec15eeb58375aa5569795eab679cd66a90,1,62.5,72.5,39285180,31827315,50,33,808,0,0,0,0,0,0,0,5087,0,0,0,0,0,0,0,981,0,0,0,0,0,0,0,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,1249,0,0,0,0,0,0,0,0,0.03,Fail,AverageEngaged,Time<30Mins
5f9911441d7584cf31deb30bbaf4ac6fb40a468d,0,0,0,0,0,0,21,4077,0,0,0,0,0,0,4,7039,0,0,0,0,0,0,0,4891,0,0,0,0,0,0,0,0,1,22.22222222,100,1365030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,Fail,AverageEngaged,Time<1hour
