an n_screen_name,gender,year_ f_birth,level_ f_educati n,c untry_three_letters,c untry_name
5df8bf6bb274c56  1721e8a5e8256a a4bd4751,f,1986,Masters  r pr fessi nal degree,USA,United States
5df8bf6bb274c56  1721e8a5e8256a a4bd4751,f,1986,Masters  r pr fessi nal degree,LUX,Luxemb urg
5df8bf6bb274c56  1721e8a5e8256a a4bd4751,f,1986,Masters  r pr fessi nal degree,DEU,Germany
5df8bf6bb274c56  1721e8a5e8256a a4bd4751,f,1986,Masters  r pr fessi nal degree,CAN,Canada
5df8bf6bb274c56  1721e8a5e8256a a4bd4751,f,1986,Masters  r pr fessi nal degree,NLD,Netherlands
5df8bf6bb274c56  1721e8a5e8256a a4bd4751,f,1986,Masters  r pr fessi nal degree,IRN,Iran (ISLAMIC Republic  f)
5df8bf6bb274c56  1721e8a5e8256a a4bd4751,f,1986,Masters  r pr fessi nal degree,GBR,United Kingd m
5df8bf6bb274c56  1721e8a5e8256a a4bd4751,f,1986,Masters  r pr fessi nal degree,R M,R mania
8b41f5be6351de6b16f6 ce7872df1d1 31ea97f,m,1997,Sec ndary/High Sch  l,USA,United States
fdeb4bedd3ff6b667 c c  f4a6647fa872d7b f,, ,Sec ndary/High Sch  l,IND,India
fdeb4bedd3ff6b667 c c  f4a6647fa872d7b f,, ,Sec ndary/High Sch  l,ZZZ,Reserved
1e324aa16b6f5b17da519235e1a8fd3eae41748a,f,1986,Masters  r pr fessi nal degree,GBR,United Kingd m
2a665662a9 e12311a731c794f6bde47ae139997,f,1974,Bachel rs,USA,United States
 fa5a36b4464779793f169ae3aa 9b5d5c 85556,m,1993,Sec ndary/High Sch  l,IND,India
 fa5a36b4464779793f169ae3aa 9b5d5c 85556,m,1993,Sec ndary/High Sch  l,CHN,China
6ede 1bce3b4c1c1b26f557 7dbc9255246 92e4,m,1991,Bachel rs,IND,India
711d9b2ed53bf8aadd a8 2bf33a6c4865774192,m,1988,Masters  r pr fessi nal degree,PAK,Pakistan
711d9b2ed53bf8aadd a8 2bf33a6c4865774192,m,1988,Masters  r pr fessi nal degree,USA,United States
138 7aaee29 a1b4c8 1cde29a 1e2e8 7 34aee,m,1976,Bachel rs,USA,United States
138 7aaee29 a1b4c8 1cde29a 1e2e8 7 34aee,m,1976,Bachel rs,MEX,Mexic 
5de8815 f4a4b7697c8c3ae9ebe6357ef7  f714,f,1967,Bachel rs,PRY,Paraguay
fff9413 d1b1d6d85b1dd6da3679fee562f634c9,m,1987,Bachel rs,GBR,United Kingd m
fff9413 d1b1d6d85b1dd6da3679fee562f634c9,m,1987,Bachel rs,SWE,Sweden
fff9413 d1b1d6d85b1dd6da3679fee562f634c9,m,1987,Bachel rs,DNK,Denmark
fff9413 d1b1d6d85b1dd6da3679fee562f634c9,m,1987,Bachel rs,ITA,Italy
fff9413 d1b1d6d85b1dd6da3679fee562f634c9,m,1987,Bachel rs,DEU,Germany
fff9413 d1b1d6d85b1dd6da3679fee562f634c9,m,1987,Bachel rs,P L,P land
85b99696d21c8692b39e6452422388756df3966d,m,1986,Sec ndary/High Sch  l,ZZZ,Reserved
e12b6 71586 25 3766bb2   bb556 737879 f3,m,1987,D ct rate,USA,United States
 aaee8e27193a db8bcd1594815e474e17 956b8,, ,User withheld,GBR,United Kingd m
 aaee8e27193a db8bcd1594815e474e17 956b8,, ,User withheld,SWE,Sweden
 aaee8e27193a db8bcd1594815e474e17 956b8,, ,User withheld,DNK,Denmark
 aaee8e27193a db8bcd1594815e474e17 956b8,, ,User withheld,AUS,Australia
4d8a8f3c16f6165e1d8fec63cfdaf595a7f59fb5,f,1994,Sec ndary/High Sch  l,SGP,Singap re
